Purchasing Document Number	Item Number of Purchasing Document	Order Number	Order Type	Purchasing group	Net price in purchasing document (in doc	Price Unit	Storage Location	Short text	Name 1	Created on	Item delivery date	Scheduled quantity	Quantity of goods received	Open GR	EOW	WK	ReqDate	ReqQty	ComDate	ComQty	Comp GI Loc	Component	Comp GI Plant	Comp Qty	Base Unit of Measure	MX_SKU	ITEM_FAMILY	ITEM_TYPE	Requirement Tracking Number	Statistics-Relevant Delivery Date
0072821381	00010	000006063797	ZP50	M02	47870.00	1000	JBL1	900-9X6AF-0056-MT0	JABIL CIRCUIT INDIA PRIVATE	05/07/2024	08/22/2025	1.000	0.000	1.000	08/24/2025	202534	08/22/2025	1.000	08/22/2025	1.000	JBL1	SFG103480	8020	1.000		MCX653106A-ECAT-SP	AD	OPAL 6		06/21/2024
0072865724	00013	000006173506	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	07/15/2024	02/21/2025	137.000	19.000	118.000	02/23/2025	202508	02/21/2025	137.000	02/21/2025	137.000	JBL1	CX07-INT-B1LP-A0	8020	137.000		SFG004948	AD	DIABLO 7		02/16/2025
0072865724	00024	000006206654	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	08/02/2024	02/21/2025	46.000	0.000	46.000	02/23/2025	202508	02/21/2025	46.000	02/21/2025	46.000	JBL1	CX07-INT-B1LP-A0	8020	46.000		SFG004948	AD	DIABLO 7		02/16/2025
0072865724	00057	000006259764	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	08/29/2024	02/21/2025	26.000	0.000	26.000	02/23/2025	202508	02/21/2025	26.000	02/21/2025	26.000	JBL1	CX07-INT-B1LP-A0	8020	26.000		SFG004948	AD	DIABLO 7		02/16/2025
0072865724	00071	000006287244	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	09/13/2024	02/28/2025	22.000	0.000	22.000	03/02/2025	202509	02/28/2025	22.000	02/28/2025	22.000	JBL1	CX07-INT-B1LP-A0	8020	22.000		SFG004948	AD	DIABLO 7		02/23/2025
0072865724	00078	000006310176	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	09/26/2024	02/28/2025	4.000	0.000	4.000	03/02/2025	202509	02/28/2025	4.000	02/28/2025	4.000	JBL1	CX07-INT-B1LP-A0	8020	4.000		SFG004948	AD	DIABLO 7		02/23/2025
0072865724	00087	000006310359	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	09/26/2024	02/21/2025	56.000	0.000	56.000	02/23/2025	202508	02/21/2025	56.000	02/21/2025	56.000	JBL1	CX07-INT-B1LP-A0	8020	56.000		SFG004948	AD	DIABLO 7		02/16/2025
0072865724	00095	000006338082	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	10/10/2024	02/28/2025	62.000	0.000	62.000	03/02/2025	202509	02/28/2025	62.000	02/28/2025	62.000	JBL1	CX07-INT-B1LP-A0	8020	62.000		SFG004948	AD	DIABLO 7		02/23/2025
0072865724	00135	000006407583	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/15/2024	02/21/2025	57.000	0.000	57.000	02/23/2025	202508	02/21/2025	57.000	02/21/2025	57.000	JBL1	CX07-INT-B1LP-A0	8020	57.000		SFG004948	AD	DIABLO 7		02/16/2025
0072865724	00139	000006447043	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	12/05/2024	02/21/2025	71.000	0.000	71.000	02/23/2025	202508	02/21/2025	71.000	02/21/2025	71.000	JBL1	CX07-INT-B1LP-A0	8020	71.000		SFG004948	AD	DIABLO 7		02/16/2025
0072865724	00141	000006480255	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	12/19/2024	02/21/2025	45.000	0.000	45.000	02/23/2025	202508	02/21/2025	45.000	02/21/2025	45.000	JBL1	CX07-INT-B1LP-A0	8020	45.000		SFG004948	AD	DIABLO 7		02/16/2025
0072865724	00142	000006480256	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	12/19/2024	02/28/2025	46.000	0.000	46.000	03/02/2025	202509	02/28/2025	46.000	02/28/2025	46.000	JBL1	CX07-INT-B1LP-A0	8020	46.000		SFG004948	AD	DIABLO 7		02/23/2025
0072865724	00144	000006506506	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	01/03/2025	02/21/2025	62.000	0.000	62.000	02/23/2025	202508	02/21/2025	62.000	02/21/2025	62.000	JBL1	CX07-INT-B1LP-A0	8020	62.000		SFG004948	AD	DIABLO 7		02/16/2025
0072887002	00010	000006211339	ZP55	M02	0.00	1	JBLZ	SFG003479	JABIL CIRCUIT INDIA PRIVATE	08/05/2024	03/28/2025	1.000	0.000	1.000	03/30/2025	202513	03/28/2025	1.000	03/28/2025	1.000	JBL1	CX07-INT-B1LP-A0	8020	1.000		SFG003479	AD	AMBER 6		08/31/2024
0072919399	00010	000006285921	ZP50	M02	56510.00	1000	JBL1	900-9X767-013N-DS1	JABIL CIRCUIT INDIA PRIVATE	09/12/2024	08/22/2025	1.000	0.000	1.000	08/24/2025	202534	08/22/2025	1.000	08/22/2025	1.000	JBL1	SFG414095	8020	1.000		0GJDG3	AD	GREMLIN BIF 7		09/27/2024
