Purchasing Document Number	Item Number of Purchasing Document	Order Number	Order Type	Purchasing group	Net price in purchasing document (in doc	Price Unit	Storage Location	Short text	Name 1	Created on	Item delivery date	Scheduled quantity	Quantity of goods received	Open GR	EOW	WK	ReqDate	ReqQty	ComDate	ComQty	Comp GI Loc	Component	Comp GI Plant	Comp Qty	Base Unit of Measure	MX_SKU	ITEM_FAMILY	ITEM_TYPE	Requirement Tracking Number	Statistics-Relevant Delivery Date
0072983023	00010	000006428310	ZP50	M02	34640.00	1000	JBL1	900-9X658-A545-SE0	JABIL CIRCUIT INDIA PRIVATE	11/25/2024	05/09/2025	2.000	0.000	2.000	05/11/2025	202519	05/09/2025	2.000	05/09/2025	2.000	JBL1	SFG103284	8020	2.000		MCX623435AC-GDAE_FB	AD	GALE 6DX		12/13/2024
0072983353	00080	000006662590	ZP58	M02	57230.00	1000	JBL1	SFG004083	JABIL CIRCUIT INDIA PRIVATE	03/15/2025	05/21/2025	7.000	0.000	7.000	05/25/2025	202521	05/21/2025	7.000	05/21/2025	7.000	JBL1	CX07-INT-B1LP-A0	8020	7.000		SFG004083	AD	DIABLO 7		03/17/2025
0072983353	00110	000006681383	ZP58	M02	57230.00	1000	JBL1	SFG004083	JABIL CIRCUIT INDIA PRIVATE	03/22/2025	05/21/2025	1.000	0.000	1.000	05/25/2025	202521	05/21/2025	1.000	05/21/2025	1.000	JBL1	CX07-INT-B1LP-A0	8020	1.000		SFG004083	AD	DIABLO 7		03/24/2025
0072984237	00010	000006430391	ZP54	M02	75865.00	1000	JBLT	930-9DAX4-0035-SS2	JABIL CIRCUIT INDIA PRIVATE	11/27/2024	05/23/2025	4.000	0.000	4.000	05/25/2025	202521	05/23/2025	4.000	05/23/2025	4.000	JBL1	SFG004726	8020	4.000		930-9DAX4-0035-SS2	CP	MOONRAKER BF-3		12/13/2024
0072985964	00010	000006432459	ZP54	M02	361396.11	1000	JBL1	900-9D3B6-00CN-SS1	JABIL CIRCUIT INDIA PRIVATE	11/28/2024	05/23/2025	18.000	0.000	18.000	05/25/2025	202521	05/23/2025	18.000	05/23/2025	18.000	JBL1	SFG404215	8020	18.000		900-9D3B6-00CN-SS1	AD	MOONRAKER BF-3		12/13/2024
0073015493	00010	000006485369	ZP58	M02	0.00	1	JBL1	SFG533658	JABIL CIRCUIT INDIA PRIVATE	12/28/2024	04/15/2025	3.000	1.000	2.000	04/20/2025	202516	04/15/2025	3.000	04/15/2025	3.000	JBL1	CX07-INT-B1LP-A0	8020	3.000		SFG533658	AD	GREMLIN 7		01/03/2025
0073086517	00010	000006628097	ZP50	M02	0.00	1	JBL1	SFG114358	JABIL CIRCUIT INDIA PRIVATE	02/27/2025	09/19/2025	1763.000	0.000	1763.000	09/21/2025	202538	09/19/2025	1763.000	09/19/2025	1763.000	JBL1	CX07-INT-B1LP-A0	8020	1763.000		SFG114358	AD	GALE 7		03/29/2026
0073086517	00011	000006676857	ZP50	M02	0.00	1	JBL1	SFG114358	JABIL CIRCUIT INDIA PRIVATE	03/20/2025	03/13/2026	560.000	0.000	560.000	03/15/2026	202611	03/13/2026	560.000	03/13/2026	560.000	JBL1	CX07-INT-B1LP-A0	8020	560.000		SFG114358	AD	GALE 7		03/29/2026
0073096206	00010	000006644941	ZP58	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	03/08/2025	05/12/2025	1.000	0.000	1.000	05/18/2025	202520	05/12/2025	1.000	05/12/2025	1.000	JBL1	CX07-INT-B1LP-A0	8020	1.000		SFG004948	AD	DIABLO 7		03/21/2025
0073096206	00020	000006646670	ZP58	M02	48127.50	1000	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	03/08/2025	05/12/2025	4.000	0.000	4.000	05/18/2025	202520	05/12/2025	4.000	05/12/2025	4.000	JBL1	CX07-INT-B1LP-A0	8020	4.000		SFG004948	AD	DIABLO 7		03/10/2025
0073102706	00010	000006658587	ZP50	M02	0.00	1	JBL1	SFG103325	JABIL CIRCUIT INDIA PRIVATE	03/13/2025	07/25/2025	100.000	0.000	100.000	07/27/2025	202530	07/25/2025	100.000	07/25/2025	100.000	JBL1	MT28928A0-XCCF-CE	8020	100.000		SFG103325	AD	OPAL 6DX		04/27/2025
0073105024	00010	000006662534	ZP58	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	03/15/2025	05/12/2025	1.000	0.000	1.000	05/18/2025	202520	05/12/2025	1.000	05/12/2025	1.000	JBL1	CX07-INT-B1LP-A0	8020	1.000		SFG004948	AD	DIABLO 7		03/28/2025
0073110176	00010	000006673649	ZP50	M02	56220.00	1000	JBL1	900-9X766-003N-SQ0	JABIL CIRCUIT INDIA PRIVATE	03/19/2025	04/10/2025	4216.000	0.000	4216.000	04/13/2025	202515	04/10/2025	4216.000	04/10/2025	4216.000	JBL1	SFG513658	8020	4216.000		MCX75310AAS-NEAT	AD	GREMLIN 7		04/11/2025
0073110177	00010	000006673650	ZP50	M02	56220.00	1000	JBL1	900-9X766-003N-SQ0	JABIL CIRCUIT INDIA PRIVATE	03/19/2025	04/11/2025	4276.000	0.000	4276.000	04/13/2025	202515	04/11/2025	4276.000	04/11/2025	4276.000	JBL1	SFG513658	8020	4276.000		MCX75310AAS-NEAT	AD	GREMLIN 7		04/11/2025
0073110183	00010	000006673656	ZP50	M02	62410.00	1000	JBL1	900-9X7AX-A54N-MC0	JABIL CIRCUIT INDIA PRIVATE	03/19/2025	04/10/2025	1206.000	0.000	1206.000	04/13/2025	202515	04/10/2025	1206.000	04/10/2025	1206.000	JBL1	SFG001812	8020	1206.000		CX75343AMC-NEAC_FB	AD	SIROCCO 7		04/04/2025
0073110184	00010	000006673657	ZP50	M02	62410.00	1000	JBL1	900-9X7AX-A54N-MC0	JABIL CIRCUIT INDIA PRIVATE	03/19/2025	04/10/2025	453.000	0.000	453.000	04/13/2025	202515	04/10/2025	453.000	04/10/2025	453.000	JBL1	SFG001812	8020	453.000		CX75343AMC-NEAC_FB	AD	SIROCCO 7		04/11/2025
0073110185	00010	000006673658	ZP50	M02	62410.00	1000	JBL1	900-9X7AX-A54N-MC0	JABIL CIRCUIT INDIA PRIVATE	03/19/2025	04/11/2025	1050.000	0.000	1050.000	04/13/2025	202515	04/11/2025	1050.000	04/11/2025	1050.000	JBL1	SFG001812	8020	1050.000		CX75343AMC-NEAC_FB	AD	SIROCCO 7		04/11/2025
0073111747	00010	000006675875	ZP50	M02	35480.00	1000	JBL1	900-9X6AG-0076-ST0	JABIL CIRCUIT INDIA PRIVATE	03/20/2025	04/16/2025	4143.000	0.000	4143.000	04/20/2025	202516	04/16/2025	4143.000	04/16/2025	4143.000	JBL1	SFG004639	8020	4143.000		MCX623106AS-CDAT	AD	OPAL 6DX		04/11/2025
0073111748	00010	000006675874	ZP50	M02	35480.00	1000	JBL1	900-9X6AG-0076-ST0	JABIL CIRCUIT INDIA PRIVATE	03/20/2025	04/16/2025	2579.000	0.000	2579.000	04/20/2025	202516	04/16/2025	2579.000	04/16/2025	2579.000	JBL1	SFG004639	8020	2579.000		MCX623106AS-CDAT	AD	OPAL 6DX		04/11/2025
0073133080	00010	000006712222	ZP50	M02	54320.00	1000	JBL1	900-9X745-A548-ME0	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	04/15/2025	87.000	0.000	87.000	04/20/2025	202516	04/15/2025	87.000	04/15/2025	87.000	JBL1	SFG004083	8020	87.000		CX71143DMC-VDAE_FB	AD	DIABLO 7		04/18/2025
0073133081	00010	000006712221	ZP50	M02	53480.00	1000	JBL1	900-9X745-A548-MF0	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	04/15/2025	274.000	0.000	274.000	04/20/2025	202516	04/15/2025	274.000	04/15/2025	274.000	JBL1	SFG004948	8020	274.000		CX71343DMC-VEAF_FB	AD	DIABLO 7		04/18/2025
0073133083	00010	000006712219	ZP50	M02	56220.00	1000	JBL1	900-9X766-003N-SQ0	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	04/18/2025	6000.000	0.000	6000.000	04/20/2025	202516	04/18/2025	6000.000	04/18/2025	6000.000	JBL1	SFG513658	8020	6000.000		MCX75310AAS-NEAT	AD	GREMLIN 7		04/18/2025
0073133083	00011	000006719270	ZP50	M02	56220.00	1000	JBL1	900-9X766-003N-SQ0	JABIL CIRCUIT INDIA PRIVATE	04/07/2025	05/02/2025	13524.000	0.000	13524.000	05/04/2025	202518	05/02/2025	13524.000	05/02/2025	13524.000	JBL1	SFG513658	8020	13524.000		MCX75310AAS-NEAT	AD	GREMLIN 7		04/18/2025
0073133084	00010	000006712218	ZP50	M02	56220.00	1000	JBL1	900-9X766-003N-SQ0	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	04/17/2025	6143.000	0.000	6143.000	04/20/2025	202516	04/17/2025	6143.000	04/17/2025	6143.000	JBL1	SFG613658	8020	6143.000		MCX75310AAS-NEAT	AD	GREMLIN 7		04/18/2025
0073133086	00010	000006712303	ZP50	M02	55640.00	1000	JBL1	900-9X767-013N-DS3	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	04/18/2025	500.000	0.000	500.000	04/20/2025	202516	04/18/2025	500.000	04/18/2025	500.000	JBL1	SFG614095	8020	500.000		0R7T63	AD	GREMLIN BIF 7		04/18/2025
0073133087	00010	000006712302	ZP50	M02	55660.00	1000	JBL1	900-9X767-013N-DT7	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	04/18/2025	2499.000	0.000	2499.000	04/20/2025	202516	04/18/2025	2499.000	04/18/2025	2499.000	JBL1	SFG614095	8020	2499.000		049J96	AD	GREMLIN BIF 7		04/18/2025
0073133094	00010	000006712295	ZP50	M02	62410.00	1000	JBL1	900-9X7AX-A54N-MC0	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	04/11/2025	2692.000	0.000	2692.000	04/13/2025	202515	04/11/2025	2692.000	04/11/2025	2692.000	JBL1	SFG001812	8020	2692.000		CX75343AMC-NEAC_FB	AD	SIROCCO 7		04/18/2025
0073133095	00010	000006712294	ZP50	M02	62410.00	1000	JBL1	900-9X7AX-A54N-MC0	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	04/15/2025	445.000	0.000	445.000	04/20/2025	202516	04/15/2025	445.000	04/15/2025	445.000	JBL1	SFG001812	8020	445.000		CX75343AMC-NEAC_FB	AD	SIROCCO 7		04/18/2025
0073133128	00010	000006712217	ZP50	M02	57100.00	1000	JBL1	900-9X766-633N-SR0	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	05/16/2025	11658.000	0.000	11658.000	05/18/2025	202520	05/16/2025	11658.000	05/16/2025	11658.000	JBL1	SFG613658	8020	11658.000		MCX75310AAC-NEAT-G	AD	GREMLIN 7		04/18/2025
0073133172	00010	000006712216	ZP50	M02	62410.00	1000	JBL1	900-9X7AX-A54N-MC0	JABIL CIRCUIT INDIA PRIVATE	04/03/2025	04/15/2025	818.000	0.000	818.000	04/20/2025	202516	04/15/2025	818.000	04/15/2025	818.000	JBL1	SFG001812	8020	818.000		CX75343AMC-NEAC_FB	AD	SIROCCO 7		04/25/2025
0073136340	00010	000006718008	ZP50	M02	56220.00	1000	JBL1	900-9X766-003N-SQ0	JABIL CIRCUIT INDIA PRIVATE	04/06/2025	04/18/2025	2850.000	0.000	2850.000	04/20/2025	202516	04/18/2025	2850.000	04/18/2025	2850.000	JBL1	SFG513658	8020	2850.000		MCX75310AAS-NEAT	AD	GREMLIN 7		04/18/2025
0073137861	00010	000006721162	ZP50	M02	60480.00	1000	JBL1	900-9X766-B43N-SQ0	JABIL CIRCUIT INDIA PRIVATE	04/07/2025	04/25/2025	20.000	0.000	20.000	04/27/2025	202517	04/25/2025	20.000	04/25/2025	20.000	JBL1	SFG613658	8020	20.000		CX75310AAC-NEAT_AM	AD	GREMLIN 7		04/25/2025
0072549764	00011	000005570750	ZP54	M03	3056000.00	1000	JBLT	MQM9700-NS2F_IC2	JABIL CIRCUIT INDIA PRIVATE	03/14/2023	04/25/2025	2.000	0.000	2.000	04/27/2025	202517	04/25/2025	2.000	04/25/2025	2.000	JBLT	SA005000_IC2	8020	2.000		MQM9700-NS2F_IC2	SH	GORILLA BLACKBIRD	DEV019583	07/26/2024
0072549765	00012	000006142603	ZP54	M03	10.00	1000	JBLT	SA005000_IC2	JABIL CIRCUIT INDIA PRIVATE	06/26/2024	05/16/2025	1.000	0.000	1.000	05/18/2025	202520	05/16/2025	1.000	05/16/2025	1.000	JBL1	QM02-INT-AMK-TP-A0	8020	1.000		SA005000_IC2	SH	GORILLA BLACKBIRD	DEV019583	07/26/2024
0072627218	00011	000005840341	ZP54	M03	33450.00	1000	JBLT	900-9IPN0-0000-021	JABIL CIRCUIT INDIA PRIVATE	11/13/2023	05/23/2025	1.000	0.000	1.000	05/25/2025	202521	05/23/2025	1.000	05/23/2025	1.000	JBLT	SFG301970_S11	8020	1.000		MCX750500C_DK_SS2	AD	NIMBUS 5		07/26/2024
0072627219	00011	000005850253	ZP54	M03	10.00	1000	JBLT	SFG301970_S11	JABIL CIRCUIT INDIA PRIVATE	11/20/2023	05/23/2025	1.000	0.000	1.000	05/25/2025	202521	05/23/2025	1.000	05/23/2025	1.000	JBL1	CX5C-INT-SPL-KF-A0	8020	3.000		SFG301970_S11	AD	NIMBUS 5		07/26/2024
0072852852	00011	000006453693	ZP54	M03	87364.29	1000	JBL1	TB000743	JABIL CIRCUIT INDIA PRIVATE	12/09/2024	05/23/2025	7.000	0.000	7.000	05/25/2025	202521	05/23/2025	7.000	05/23/2025	7.000				0.000		TB000743	CP	TEST BOARD		02/07/2025
0072882558	00011	000006357006	ZP54	M03	2830000.00	1000	JBLT	920-9IPN0-0000-555	JABIL CIRCUIT INDIA PRIVATE	10/21/2024	04/25/2025	2.000	0.000	2.000	04/27/2025	202517	04/25/2025	2.000	04/25/2025	2.000	JBLT	SA005157_SS1	8020	2.000		MQM9700-NS2F-N_SS1	SH	GORILLA BLACKBIRD	ER-103147	08/30/2024
0072882559	00011	000006278044	ZP54	M03	1833000.00	1000	JBLT	SA005157_SS1	JABIL CIRCUIT INDIA PRIVATE	09/09/2024	05/16/2025	2.000	0.000	2.000	05/18/2025	202520	05/16/2025	2.000	05/16/2025	2.000	JBL1	QM2-B0064BN21X-A0	8020	2.000		SA005157_SS1	SH	GORILLA BLACKBIRD		08/30/2024
0072903790	00010	000006252657	ZP50	M03	0.00	1	JBL1	SA003730_SKT	JABIL CIRCUIT INDIA PRIVATE	08/26/2024	03/27/2026	2.000	0.000	2.000	03/29/2026	202613	03/27/2026	2.000	03/27/2026	2.000				0.000		SA003730_SKT	SH	LEOPARD FIREBIRD		03/29/2026
0072988784	00011	000006721170	ZP54	M03	77794.00	1000	JBL1	TB003203	JABIL CIRCUIT INDIA PRIVATE	04/07/2025	05/23/2025	70.000	0.000	70.000	05/25/2025	202521	05/23/2025	70.000	05/23/2025	70.000				0.000		TB003203	CP	TEST BOARD		01/30/2025
0072988785	00010	000006439441	ZP54	M03	91320.00	1000	JBL1	TB003410	JABIL CIRCUIT INDIA PRIVATE	12/02/2024	05/23/2025	131.000	0.000	131.000	05/25/2025	202521	05/23/2025	131.000	05/23/2025	131.000				0.000		TB003410	CP	TEST BOARD		01/30/2025
0073011044	00011	000006586569	ZP54	M03	29527.50	1000	JBL1	TB002480	JABIL CIRCUIT INDIA PRIVATE	02/10/2025	05/23/2025	4.000	0.000	4.000	05/25/2025	202521	05/23/2025	4.000	05/23/2025	4.000				0.000		TB002480	CP	TEST BOARD		01/30/2025
0073011045	00011	000006585529	ZP54	M03	96905.00	1000	JBL1	TB003666	JABIL CIRCUIT INDIA PRIVATE	02/10/2025	05/23/2025	8.000	0.000	8.000	05/25/2025	202521	05/23/2025	8.000	05/23/2025	8.000				0.000		TB003666	CP	TEST BOARD		01/30/2025
0073024376	00030	000006512325	ZP55	M03	0.01	1	JBL1	SA004723	JABIL CIRCUIT INDIA PRIVATE	01/06/2025	05/16/2025	1.000	0.000	1.000	05/18/2025	202520	05/16/2025	1.000	05/16/2025	1.000	JBL1	QM2-B0064BN21X-A0	8020	1.000		SA004723	SH	GORILLA BLACKBIRD		01/20/2025
0073025973	00011	000006720999	ZP54	M03	299400.95	1000	JBL1	TB002946	JABIL CIRCUIT INDIA PRIVATE	04/07/2025	05/23/2025	63.000	0.000	63.000	05/25/2025	202521	05/23/2025	63.000	05/23/2025	63.000				0.000		TB002946	CP	TEST BOARD		02/14/2025
0073025974	00010	000006515813	ZP54	M03	77794.00	1000	JBL1	TB003203	JABIL CIRCUIT INDIA PRIVATE	01/08/2025	05/23/2025	40.000	0.000	40.000	05/25/2025	202521	05/23/2025	40.000	05/23/2025	40.000				0.000		TB003203	CP	TEST BOARD		02/14/2025
0073025975	00010	000006515814	ZP54	M03	91320.40	1000	JBL1	TB003410	JABIL CIRCUIT INDIA PRIVATE	01/08/2025	05/23/2025	25.000	0.000	25.000	05/25/2025	202521	05/23/2025	25.000	05/23/2025	25.000				0.000		TB003410	CP	TEST BOARD		02/14/2025
0073027746	00023	000006642848	ZP50	M03	0.00	1	JBL1	SA002586	JABIL CIRCUIT INDIA PRIVATE	03/06/2025	02/27/2026	16.000	0.000	16.000	03/01/2026	202609	02/27/2026	16.000	02/27/2026	16.000	JBL1	MT52132A1-FDCR-C	8020	16.000		SA002586	SH	BOXER		04/27/2025
0073038167	00010	000006539906	ZP58	M03	0.00	1	JBL1	SA002586	JABIL CIRCUIT INDIA PRIVATE	01/18/2025	05/02/2025	3.000	1.000	2.000	05/04/2025	202518	05/02/2025	3.000	05/02/2025	3.000	JBL1	MT52132A1-FDCR-C	8020	3.000		SA002586	SH	BOXER		01/31/2025
0073060103	00010	000006575756	ZP55	M03	0.01	1	JBL1	SA002640	JABIL CIRCUIT INDIA PRIVATE	02/06/2025	05/16/2025	2.000	0.000	2.000	05/18/2025	202520	05/16/2025	2.000	05/16/2025	2.000	JBL1	MT52132A1-FDCR-C	8020	2.000		SA002640	SH	PANTHER		02/20/2025
0073060103	00020	000006575757	ZP55	M03	0.01	1	JBL1	SA004722	JABIL CIRCUIT INDIA PRIVATE	02/06/2025	05/16/2025	3.000	0.000	3.000	05/18/2025	202520	05/16/2025	3.000	05/16/2025	3.000	JBL1	QM2-B0064BN21X-A0	8020	3.000		SA004722	SH	GORILLA BLACKBIRD		02/20/2025
0073068100	00010	000006590721	ZP52	M03	60.19	1	JBL1	920-9N213-00F7-0C0	JABIL CIRCUIT INDIA PRIVATE	02/12/2025	04/18/2025	3.000	1.000	2.000	04/20/2025	202516	04/18/2025	3.000	04/18/2025	3.000	JBL8	920-9N213-00F7-0X0	8020	3.000		MSN3420-CB2FC	SH	LIONFISH PHOENIX		02/28/2025
0073068100	00020	000006592122	ZP52	M03	60.19	1	JBL1	920-9N201-00FA-0C0	JABIL CIRCUIT INDIA PRIVATE	02/12/2025	04/11/2025	2.000	1.000	1.000	04/13/2025	202515	04/11/2025	2.000	04/11/2025	2.000	JBL8	920-9N210-03FA-0X0	8020	2.000		MSN3700-VS2FC	SH	ANACONDA200 PHOENIX		02/28/2025
0072974601	00041	000006584520	ZP58	M05	18206.67	1000	JBL1	SFG073892	JABIL CIRCUIT INDIA PRIVATE	02/10/2025	04/25/2025	21.000	14.000	7.000	04/27/2025	202517	04/25/2025	21.000	04/25/2025	21.000	JBL1	MT28942A0-YCCF-AE	8020	21.000		SFG073892	AD	GARNET 6LX		11/27/2024
0072974601	00050	000006468951	ZP58	M05	18780.00	1000	JBL1	SFG073892	JABIL CIRCUIT INDIA PRIVATE	12/14/2024	05/22/2025	17.000	0.000	17.000	05/25/2025	202521	05/22/2025	17.000	05/22/2025	17.000	JBL1	MT28942A0-YCCF-AE	8020	17.000		SFG073892	AD	GARNET 6LX		12/16/2024
0072442520	00010	000005243029	ZP50	M11	0.00	1	JBL1	SA012768	JABIL CIRCUIT INDIA PRIVATE	05/27/2022	03/27/2026	1.000	0.000	1.000	03/29/2026	202613	03/27/2026	1.000	03/27/2026	1.000	JBL1	MT52132A1-FDCR-C	8020	1.000		SA012768	SH	PANTHER	3.2	03/29/2026
0072442520	00011	000005450842	ZP50	M11	0.00	1	JBL1	SA012768	JABIL CIRCUIT INDIA PRIVATE	11/14/2022	03/27/2026	3.000	0.000	3.000	03/29/2026	202613	03/27/2026	3.000	03/27/2026	3.000	JBL1	MT52132A1-FDCR-C	8020	5.000		SA012768	SH	PANTHER		03/29/2026
0072450762	00012	000005450831	ZP50	M11	0.00	1	JBL1	SA002768	JABIL CIRCUIT INDIA PRIVATE	11/14/2022	03/27/2026	1.000	0.000	1.000	03/29/2026	202613	03/27/2026	1.000	03/27/2026	1.000	JBL1	MT52132A1-FDCR-C	8020	1.000		SA002768	SH	PANTHER		03/29/2026
0072639974	00045	000005914739	ZP50	M11	0.00	1	JBL1	SA003253	JABIL CIRCUIT INDIA PRIVATE	01/15/2024	04/18/2025	15.000	0.000	15.000	04/20/2025	202516	04/18/2025	15.000	04/18/2025	15.000	JBL1	MT52132A1-FDCR-C	8020	15.000		SA003253	SH	PANTHER		04/20/2025
0072639974	00046	000005914740	ZP50	M11	0.00	1	JBL1	SA003253	JABIL CIRCUIT INDIA PRIVATE	01/15/2024	04/18/2025	17.000	0.000	17.000	04/20/2025	202516	04/18/2025	17.000	04/18/2025	17.000	JBL1	MT52132A1-FDCR-C	8020	17.000		SA003253	SH	PANTHER		04/20/2025
0072639974	00047	000005924083	ZP50	M11	0.00	1	JBL1	SA003253	JABIL CIRCUIT INDIA PRIVATE	01/22/2024	04/18/2025	29.000	0.000	29.000	04/20/2025	202516	04/18/2025	29.000	04/18/2025	29.000	JBL1	MT52132A1-FDCR-C	8020	29.000		SA003253	SH	PANTHER		04/20/2025
