Purchasing Document Number	Item Number of Purchasing Document	Order Number	Order Type	Purchasing group	Net price in purchasing document (in doc	Price Unit	Storage Location	Short text	Name 1	Created on	Item delivery date	Scheduled quantity	Quantity of goods received	Open GR	EOW	WK	ReqDate	ReqQty	ComDate	ComQty	Comp GI Loc	Component	Comp GI Plant	Comp Qty	Base Unit of Measure	MX_SKU	ITEM_FAMILY	ITEM_TYPE	Requirement Tracking Number	Statistics-Relevant Delivery Date
0073080309	00020	000006631108	ZP58		720968.89	1000	JBL1	SA002586	JABIL CIRCUIT INDIA PRIVATE	03/01/2025	05/02/2025	9.000	0.000	9.000	05/04/2025	202518	05/02/2025	9.000	05/02/2025	9.000	JBL1	MT52132A1-FDCR-C	8020	9.000		SA002586	SH	BOXER		03/03/2025
0072887002	00010	000006211339	ZP55	M02	0.00	1	JBLZ	SFG003479	JABIL CIRCUIT INDIA PRIVATE	08/05/2024	05/16/2025	1.000	0.000	1.000	05/18/2025	202520	05/16/2025	1.000	05/16/2025	1.000	JBL1	CX07-INT-B1LP-A0	8020	1.000		SFG003479	AD	AMBER 6		08/31/2024
0072919399	00010	000006285921	ZP50	M02	55540.00	1000	JBL1	900-9X767-013N-DS1	JABIL CIRCUIT INDIA PRIVATE	09/12/2024	08/22/2025	1.000	0.000	1.000	08/24/2025	202534	08/22/2025	1.000	08/22/2025	1.000	JBL1	SFG414095	8020	1.000		0GJDG3	AD	GREMLIN BIF 7		09/27/2024
0072937276	00010	000006325230	ZP50	M02	55540.00	1000	JBL1	900-9X767-013N-DS1	JABIL CIRCUIT INDIA PRIVATE	10/03/2024	08/22/2025	3.000	0.000	3.000	08/24/2025	202534	08/22/2025	3.000	08/22/2025	3.000	JBL1	SFG414095	8020	3.000		0GJDG3	AD	GREMLIN BIF 7		10/11/2024
0072946958	00041	000006585401	ZP58	M02	49937.37	1000	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	02/10/2025	05/12/2025	19.000	2.000	17.000	05/18/2025	202520	05/12/2025	19.000	05/12/2025	19.000	JBL1	CX07-INT-B1LP-A0	8020	19.000		SFG004948	AD	DIABLO 7		11/27/2024
0072946958	00050	000006539041	ZP58	M02	57140.00	1000	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	01/18/2025	05/12/2025	6.000	0.000	6.000	05/18/2025	202520	05/12/2025	6.000	05/12/2025	6.000	JBL1	CX07-INT-B1LP-A0	8020	6.000		SFG004948	AD	DIABLO 7		01/31/2025
0072969034	00010	000006396135	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	153.000	0.000	153.000	03/15/2026	202611	03/13/2026	153.000	03/13/2026	153.000	JBL1	CX07-INT-B1LP-A0	8020	153.000		SFG004948	AD	DIABLO 7		12/07/2025
0072969035	00010	000006396136	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	234.000	0.000	234.000	03/15/2026	202611	03/13/2026	234.000	03/13/2026	234.000	JBL1	CX07-INT-B1LP-A0	8020	234.000		SFG004948	AD	DIABLO 7		12/07/2025
0072969036	00010	000006396137	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	1.000	0.000	1.000	03/15/2026	202611	03/13/2026	1.000	03/13/2026	1.000	JBL1	CX07-INT-B1LP-A0	8020	1.000		SFG004948	AD	DIABLO 7		12/07/2025
0072969037	00010	000006396138	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	40.000	0.000	40.000	03/15/2026	202611	03/13/2026	40.000	03/13/2026	40.000	JBL1	CX07-INT-B1LP-A0	8020	40.000		SFG004948	AD	DIABLO 7		12/07/2025
0072969038	00010	000006396139	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	61.000	0.000	61.000	03/15/2026	202611	03/13/2026	61.000	03/13/2026	61.000	JBL1	CX07-INT-B1LP-A0	8020	61.000		SFG004948	AD	DIABLO 7		12/07/2025
0072969039	00010	000006396140	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	44.000	0.000	44.000	03/15/2026	202611	03/13/2026	44.000	03/13/2026	44.000	JBL1	CX07-INT-B1LP-A0	8020	44.000		SFG004948	AD	DIABLO 7		12/07/2025
0072969040	00010	000006396141	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	23.000	0.000	23.000	03/15/2026	202611	03/13/2026	23.000	03/13/2026	23.000	JBL1	CX07-INT-B1LP-A0	8020	23.000		SFG004948	AD	DIABLO 7		12/07/2025
0072969041	00010	000006396142	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	148.000	0.000	148.000	03/15/2026	202611	03/13/2026	148.000	03/13/2026	148.000	JBL1	CX07-INT-B1LP-A0	8020	148.000		SFG004948	AD	DIABLO 7		12/07/2025
0072969042	00010	000006396143	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	5.000	0.000	5.000	03/15/2026	202611	03/13/2026	5.000	03/13/2026	5.000	JBL1	CX07-INT-B1LP-A0	8020	5.000		SFG004948	AD	DIABLO 7		12/07/2025
0072969046	00010	000006396147	ZP50	M02	0.00	1	JBL1	SFG004948	JABIL CIRCUIT INDIA PRIVATE	11/10/2024	03/13/2026	16.000	0.000	16.000	03/15/2026	202611	03/13/2026	16.000	03/13/2026	16.000	JBL1	CX07-INT-B1LP-A0	8020	16.000		SFG004948	AD	DIABLO 7		12/07/2025
